management,foundfam_owned,country,industry,comp_strength
3.0,0,United States,measurement,low
4.44444465637207,0,United States,chemicals,high
2.66666674613953,0,United States,fab_metal,high
4.38888883590698,1,United States,electronic,high
4.83333349227905,0,United States,machinery,high
2.72222232818604,0,United States,electronic,high
3.11111116409302,0,United States,measurement,high
3.11764717102051,0,United States,lumber,med
2.77777767181396,1,United States,chemicals,high
3.16666674613953,0,United States,machinery,low
3.58823537826538,0,United States,milled,high
3.11111116409302,0,United States,rubber,med
3.0,0,United States,chemicals,low
3.66666674613953,0,United States,electronic,high
3.72222232818604,0,United States,measurement,high
3.33333325386047,0,United States,lumber,high
3.66666674613953,0,United States,stone,med
3.55555558204651,0,United States,electronic,high
3.94444441795349,1,United States,measurement,high
4.11111116409302,0,United States,electronic,high
4.0,0,United States,rubber,high
3.83333325386047,0,United States,transport,high
3.05555558204651,0,United States,measurement,med
2.83333325386047,0,United States,machinery,high
3.77777767181396,0,United States,machinery,med
3.55555558204651,0,United States,electronic,high
3.66666674613953,0,United States,electronic,med
4.61111116409302,0,United States,machinery,high
3.55555558204651,0,United States,chemicals,med
4.11111116409302,0,United States,chemicals,high
3.44444441795349,0,United States,printing,high
3.27777767181396,0,United States,printing,high
2.5,0,United States,electronic,high
2.38888883590698,0,United States,measurement,low
3.38888883590698,0,United States,measurement,med
3.11111116409302,0,United States,measurement,high
3.5,0,United States,measurement,high
4.11111116409302,0,United States,misc_manuf,high
4.33333349227905,0,United States,machinery,high
3.94444441795349,0,United States,machinery,med
3.05555558204651,0,United States,electronic,high
3.27777767181396,1,United States,food,high
3.61111116409302,0,United States,pri_metal,high
3.33333325386047,0,United States,fab_metal,high
2.22222232818604,0,United States,chemicals,high
3.05882358551025,0,United States,electronic,high
3.94444441795349,0,United States,machinery,high
3.88888883590698,0,United States,chemicals,low
3.0,0,United States,printing,high
2.66666674613953,0,United States,transport,med
2.55555558204651,0,United States,paper,high
4.16666650772095,0,United States,electronic,high
3.44444441795349,0,United States,measurement,med
4.16666650772095,1,United States,stone,high
4.38888883590698,0,United States,measurement,high
4.27777767181396,0,United States,chemicals,high
2.88888883590698,0,United States,chemicals,high
3.22222232818604,0,United States,machinery,med
2.33333325386047,0,United States,fab_metal,high
3.22222232818604,0,United States,rubber,high
2.66666674613953,1,United States,food,low
3.0,0,United States,measurement,high
4.0,0,United States,machinery,low
3.29411768913269,0,United States,electronic,high
1.94444441795349,0,United States,pri_metal,high
3.05555558204651,0,United States,pri_metal,med
2.94444441795349,0,United States,electronic,high
3.16666674613953,0,United States,measurement,low
2.88888883590698,1,United States,transport,high
3.17647051811218,0,United States,food,low
2.88888883590698,0,United States,printing,med
3.22222232818604,0,United States,electronic,high
2.88888883590698,1,United States,machinery,high
2.27777767181396,0,United States,apparel,high
2.61111116409302,0,United States,measurement,med
2.88888883590698,0,United States,misc_manuf,high
3.44444441795349,0,United States,chemicals,high
4.5,0,United States,measurement,high
3.11111116409302,0,United States,electronic,high
4.05555534362793,0,United States,machinery,high
2.38888883590698,0,United States,chemicals,high
2.83333325386047,1,United States,milled,high
3.33333325386047,0,United States,measurement,high
3.61111116409302,0,United States,machinery,high
4.33333349227905,0,United States,measurement,high
3.38888883590698,0,United States,misc_manuf,high
2.0,0,United States,fab_metal,high
2.77777767181396,0,United States,measurement,high
3.11111116409302,0,United States,electronic,low
3.27777767181396,0,United States,measurement,high
4.0,0,United States,electronic,low
3.27777767181396,0,United States,misc_manuf,med
3.11111116409302,0,United States,electronic,high
3.52941179275513,0,United States,electronic,high
2.38888883590698,0,United States,machinery,med
2.33333325386047,0,United States,machinery,med
3.61111116409302,0,United States,transport,high
2.79999995231628,0,United States,fab_metal,high
3.11111116409302,0,United States,chemicals,high
2.82352948188782,0,United States,paper,high
2.55555558204651,0,United States,stone,med
2.66666674613953,0,United States,rubber,high
3.94444441795349,1,United States,transport,high
3.38888883590698,0,United States,electronic,high
3.27777767181396,0,United States,machinery,med
3.33333325386047,0,United States,machinery,med
3.61111116409302,1,United States,machinery,high
4.66666650772095,0,United States,pri_metal,high
3.66666674613953,0,United States,transport,low
2.77777767181396,0,United States,electronic,low
3.5,1,United States,machinery,high
4.22222232818604,1,United States,machinery,high
3.22222232818604,0,United States,fab_metal,high
3.05555558204651,0,United States,chemicals,high
3.44444441795349,0,United States,machinery,high
3.55555558204651,0,United States,fab_metal,high
4.16666650772095,1,United States,food,med
3.0,0,United States,chemicals,low
3.61111116409302,0,United States,electronic,med
2.66666674613953,1,United States,food,med
2.66666674613953,0,United States,apparel,low
4.44444465637207,0,United States,fab_metal,low
3.66666674613953,0,United States,machinery,high
3.33333325386047,0,United States,measurement,high
3.61111116409302,0,United States,lumber,low
1.86666667461395,1,India,milled,high
3.0,0,United States,chemicals,low
3.11111116409302,0,United States,chemicals,high
3.38888883590698,0,United States,electronic,low
3.61111116409302,1,United States,pri_metal,high
2.44444441795349,0,United States,milled,high
2.66666674613953,0,United States,measurement,low
2.94444441795349,0,United States,fab_metal,high
4.33333349227905,0,United States,electronic,high
3.55555558204651,0,United States,machinery,low
4.38888883590698,1,United States,measurement,high
3.44444441795349,0,United States,measurement,high
3.44444441795349,0,United States,machinery,high
3.72222232818604,0,United States,measurement,med
2.27777767181396,0,United States,rubber,high
3.44444441795349,0,United States,electronic,high
4.0,0,United States,machinery,med
3.27777767181396,0,United States,measurement,high
